File,p_id,corresp,text
t.1.4.1.xml,t141.p21,c141.114,"When she heard this, [DN: Erekigala] slapped the side of her thigh She bit her lip and took the words to heart She said to [DN: Neti], her chief doorman: [DN: Neti], my chief doorman of the underworld, don't neglect the instructions I will give you Let the seven gates of the underworld be bolted Then let each door of the palace Ganzer be opened separately As for her, after she has entered, and crouched down and had her clothes removed, they will be carried away."
t.1.4.1.xml,t141.p22,c141.123,"[DN: Neti], the chief doorman of the underworld, paid attention to the instructions of his mistress He bolted the seven gates of the underworld Then he opened each of the doors of the palace Ganzer separately He said to holy [DN: Inana]: [DN: Inana], and enter."
t.1.4.1.xml,t141.p23,c141.129,"And when [DN: Inana] entered, the lapis-lazuli measuring rod and measuring line were removed from her hand, when she entered the first gate, the turban, headgear for the open country, was removed from her head. [DN: Inana], a divine power of the underworld has been fulfilled. [DN: Inana], you must not open your mouth against the rites of the underworld."
t.1.4.1.xml,t141.p24,c141.134,"When she entered the second gate, the small lapis-lazuli beads were removed from her neck. [DN: Inana], a divine power of the underworld has been fulfilled. [DN: Inana], you must not open your mouth against the rites of the underworld."
t.1.4.1.xml,t141.p25,c141.139,"When she entered the third gate, the twin egg-shaped beads were removed from her breast. [DN: Inana], a divine power of the underworld has been fulfilled. [DN: Inana], you must not open your mouth against the rites of the underworld."
t.1.4.1.xml,t141.p26,c141.144,"When she entered the fourth gate, the ""Come, man, come"" pectoral was removed from her breast. [DN: Inana], a divine power of the underworld has been fulfilled. [DN: Inana], you must not open your mouth against the rites of the underworld."
t.1.4.1.xml,t141.p27,c141.149,"When she entered the fifth gate, the golden ring was removed from her hand. [DN: Inana], a divine power of the underworld has been fulfilled. [DN: Inana], you must not open your mouth against the rites of the underworld."
t.1.4.1.xml,t141.p28,c141.154,"When she entered the sixth gate, the lapis-lazuli measuring rod and measuring line were removed from her hand. [DN: Inana], a divine power of the underworld has been fulfilled. [DN: Inana], you must not open your mouth against the rites of the underworld."
t.1.4.1.xml,t141.p29,c141.159,"When she entered the seventh gate, the dress, the garment of ladyship, was removed from her body. [DN: Inana], a divine power of the underworld has been fulfilled. [DN: Inana], you must not open your mouth against the rites of the underworld."
t.1.4.1.xml,t141.p30,c141.164,"After she had crouched down and had her clothes removed, they were carried away Then she made her sister [DN: Erekigala] rise from her throne, and instead she sat on her throne The [DN: Anuna], the seven judges, rendered their decision against her They looked at her it was the look of death They spoke to her it was the speech of anger They shouted at her it was the shout of heavy guilt The afflicted woman was turned into a corpse And the corpse was hung on a hook."
t.1.4.1.xml,t141.p31,c141.173,"After three days and three nights had passed, her minister [DN: Ninubur], her minister who speaks fair words, her escort who speaks trustworthy words, carried out the instructions of her mistress did not forget her orders, she did not neglect her instructions."
t.1.4.1.xml,t141.p32,c141.176,"She made a lament for her in her ruined (houses) She beat the drum for her in the sanctuaries She made the rounds of the houses of the gods for her She lacerated her eyes for her, she lacerated her nose In private she lacerated her buttocks for her Like a pauper, she clothed herself in a single garment, and all alone she set her foot in the [TN: E-kur], the house of [DN: Enlil]."
t.1.4.1.xml,t141.p33,c141.183,"When she had entered the [TN: E-kur], the house of [DN: Enlil], she lamented before [DN: Enlil]: [DN: Enlil], don't let anyone kill your daughter in the underworld Don't let your precious metal be alloyed there with the dirt of the underworld Don't let your precious lapis lazuli be split there with the mason's stone Don't let your boxwood be chopped up there with the carpenter's wood Don't let young lady [DN: Inana] be killed in the underworld."
t.1.4.1.xml,t141.p34,c141.190,"In his rage Father [DN: Enlil] answered [DN: Ninubur]: [DN: Inana] craved the great heaven and she craved the great below as well The divine powers of the underworld are divine powers which should not be craved, for whoever gets them must remain in the underworld Who, having got to that place, could then expect to come up again?"
t.1.4.1.xml,t141.p35,c141.195,"Thus Father [DN: Enlil] did not help in this matter, so she went to [SN: Urim] In the [TN: E-mud-kura] at [SN: Urim], when she had entered the [TN: E-ki-nu-al], the house of [DN: Nanna], she lamented before [DN: Nanna]: [DN: Nanna], don't let your daughter be killed in the underworld Don't let your precious metal be alloyed there with the dirt of the underworld Don't let your precious lapis lazuli be split there with the mason's stone Don't let your boxwood be chopped up there with the carpenter's wood Don't let young lady [DN: Inana] be killed in the underworld."
t.1.4.1.xml,t141.p36,c141.204,"In his rage Father [DN: Nanna] answered [DN: Ninubur]: [DN: Inana] craved the great heaven and she craved the great below as well The divine powers of the underworld are divine powers which should not be craved, for whoever gets them must remain in the underworld Who, having got to that place, could then expect to come up again?"
t.1.4.1.xml,t141.p37,c141.209,"Thus Father [DN: Nanna] did not help her in this matter, so she went to [SN: Eridug] In [SN: Eridug], when she had entered the house of [DN: Enki], she lamented before [DN: Enki]: [DN: Enki], don't let anyone kill your daughter in the underworld Don't let your precious metal be alloyed there with the dirt of the underworld Don't let your precious lapis lazuli be split there with the mason's stone Don't let your boxwood be chopped up there with the carpenter's wood Don't let young lady [DN: Inana] be killed in the underworld."
t.1.4.1.xml,t141.p38,c141.217,Father [DN: Enki] answered [DN: Ninubur]: [DN: Inana] done? She has me worried What has the mistress of all the lands done? She has me worried What has the mistress of heaven done? She has me worried Thus Father [DN: Enki] helped her in this matter He removed some dirt from the tip of his fingernail and created the He removed some dirt from the tip of his other fingernail and created the To the he gave the life-giving plant To the he gave the life-giving water.
t.1.4.1.xml,t141.p39,c141.226,"Then Father [DN: Enki] spoke out to the and the: One of you sprinkle the life-giving plant over her, and the other the life-giving water Go and direct your steps to the underworld Flit past the door like flies Slip through the door pivots like phantoms The mother who gave birth, [DN: Erekigala], on account of her children, is lying there Her holy shoulders are not covered by a linen cloth Her breasts are not full like a vessel Her nails are like a pickaxe upon her The hair on her head is bunched up as if it were leeks."
t.1.4.1.xml,t141.p40,c141.236,", you are to say When she says, you are to say. (She will then ask: ) Make her swear this by heaven and earth."
t.1.4.1.xml,t141.p41,c141.246,(She will answer: ) Say to her: She will give you the corpse hanging on the hook One of you sprinkle on it the life-giving plant and the other the life-giving water Thus let [DN: Inana] arise.
t.1.4.1.xml,t141.p42,c141.254,"The and the paid attention to the instructions of [DN: Enki] They flitted through the door like flies They slipped through the door pivots like phantoms The mother who gave birth, [DN: Erekigala], because of her children, was lying there Her holy shoulders were not covered by a linen cloth Her breasts were not full like a vessel Her nails were like a pickaxe upon her The hair on her head was bunched up as if it were leeks."
t.1.4.1.xml,t141.p43,c141.263,"When she said, they said to her When she said, they said to her. (Then she asked: ) They made her swear this by heaven and earth They."
t.1.4.1.xml,t141.p44,c141.273,They were offered a river with its water they did not accept it They were offered a field with its grain they did not accept it They said to her: Holy [DN: Erekigala] answered the and the: They said to her: They were given the corpse hanging on the hook One of them sprinkled on it the life-giving plant and the other the life-giving water And thus [DN: Inana] arose.
t.1.4.1.xml,t141.p45,c141.282,"[DN: Erekigala] said to the and the: [DN: Inana], because of [DN: Enki] instructions, was about to ascend from the underworld But as [DN: Inana] was about to ascend from the underworld, the [DN: Anuna] seized her: [DN: Inana] is to ascend from the underworld, let her provide a substitute for herself."
t.1.4.1.xml,t141.p46,c141.290,"So when [DN: Inana] left the underworld, the one in front of her, though not a minister, held a sceptre in his hand; the one behind her, though not an escort, carried a mace at his hip, while the small demons, like a reed enclosure, and the big demons, like the reeds of a fence, restrained her on all sides."
t.1.4.1.xml,t141.p47,c141.295,"Those who accompanied her, those who accompanied [DN: Inana], know no food, know no drink, eat no flour offering and drink no libation They accept no pleasant gifts They never enjoy the pleasures of the marital embrace, never have any sweet children to kiss They tear away the wife from a man's embrace They snatch the son from a man's knee They make the bride leave the house of her father-in-law They take the wife away from a man's embrace They take away the child hanging on a wet-nurse's breasts They crush no bitter garlic They eat no fish, they eat no leeks They, it was, who accompanied [DN: Inana]."
t.1.4.1.xml,t141.p48,c141.306,"After [DN: Inana] had ascended from the underworld, [DN: Ninubur] threw herself at her feet at the door of the Ganzer She had sat in the dust and clothed herself in a filthy garment The demons said to holy [DN: Inana]: [DN: Inana], proceed to your city, we will take her back."
t.1.4.1.xml,t141.p49,c141.311,"Holy [DN: Inana] answered the demons: She lacerated her ears for me in public In private, she lacerated her buttocks for me Like a pauper, she clothed herself in a single garment."
t.1.4.1.xml,t141.p50,c141.322,"[TN: E-kur], to the house of [DN: Enlil], and to [SN: Urim], to the house of [DN: Nanna], and to [SN: Eridug], to the house of [DN: Enki] She wept before [DN: Enki] She brought me back to life How could I turn her over to you? Let us go on Let us go on to the [TN: eg-kuraga] in [SN: Umma]."
t.1.4.1.xml,t141.p51,c141.329,"At the [TN: eg-kuraga] in [SN: Umma], [DN: ara], in his own city, threw himself at her feet He had sat in the dust and dressed himself in a filthy garment The demons said to holy [DN: Inana]: [DN: Inana], proceed to your city, we will take him back."
t.1.4.1.xml,t141.p52,c141.334,"Holy [DN: Inana] answered the demons: [DN: ara] is my singer, my manicurist and my hairdresser How could I turn him over to you? Let us go on Let us go on to the [TN: E-mu-kalama] in [SN: Bad-tibira]."
t.1.4.1.xml,t141.p53,c141.339,"At the [TN: E-mu-kalama] in [SN: Bad-tibira], [DN: Lulal], in his own city, threw himself at her feet He had sat in the dust and clothed himself in a filthy garment The demons said to holy [DN: Inana]: [DN: Inana], proceed to your city, we will take him back."
t.1.4.1.xml,t141.p54,c141.344,Holy [DN: Inana] answered the demons: [DN: Lulal] follows me at my right and my left How could I turn him over to you? Let us go on Let us go on to the great apple tree in the plain of [SN: Kulaba].
t.1.4.1.xml,t141.p55,c141.348,They followed her to the great apple tree in the plain of [SN: Kulaba] There was [DN: Dumuzid] clothed in a magnificent garment and seated magnificently on a throne The demons seized him there by his thighs The seven of them poured the milk from his churns The seven of them shook their heads like They would not let the shepherd play the pipe and flute before her.
t.1.4.1.xml,t141.p56,c141.354,"She looked at him, it was the look of death She spoke to him, it was the speech of anger She shouted at him, it was the shout of heavy guilt: Holy [DN: Inana] gave [DN: Dumuzid] the shepherd into their hands."
t.1.4.1.xml,t141.p57,c141.359,"Those who had accompanied her, who had come for [DN: Dumuzid], know no food, know no drink, eat no flour offering, drink no libation They never enjoy the pleasures of the marital embrace, never have any sweet children to kiss They snatch the son from a man's knee They make the bride leave the house of her father-in-law."
t.1.4.1.xml,t141.p58,c141.368,"[DN: Dumuzid] let out a wail and wept The lad raised his hands to heaven, to [DN: Utu]: [DN: Utu], you are my brother-in-law. I am your relation by marriage. I brought butter to your mother's house. I brought milk to [DN: Ningal] house Turn my hands into snake's hands and turn my feet into snake's feet, so I can escape my demons, let them not keep hold of me."
t.1.4.1.xml,t141.p59,c141.376,[DN: Utu] accepted his tears. [DN: Dumuzid] demons could not keep hold of him. [DN: Utu] turned [DN: Dumuzid] hands into snake's hands He turned his feet into snake's feet. [DN: Dumuzid] escaped his demons Like a snake he They seized Holy [DN: Inana] her heart.
t.1.4.1.xml,t141.p60,c141.384,"Holy [DN: Inana] wept bitterly for her husband She tore at her hair like esparto grass, she ripped it out like esparto grass."
t.1.4.1.xml,t141.p61,c141.394,A fly spoke to holy [DN: Inana]: Holy [DN: Inana] answered the fly:
t.1.4.1.xml,t141.p62,c141.399,The fly helped holy [DN: Inana] Young lady [DN: Inana] decreed the destiny of the fly: Now [DN: Inana] decreed this fate and thus it came to be.
t.1.4.1.xml,t141.p63,c141.404,was weeping She came up to the sister and by the hand: Thus holy [DN: Inana] gave [DN: Dumuzid] as a substitute.
t.1.4.1.xml,t141.p64,c141.411,[DN: Holy Erekigala] sweet is your praise.
t.2.6.6.1.xml,t2661.p1,c2661.1,"who respects. his departing boat He provided flour, gold and grain, befitting the great lady. this choice grain, the lapis lazuli [DN: Sn-iddinam] [TN: E-kur]."
t.2.6.6.1.xml,t2661.p2,c2661.5,"He transported this cargo to the Quay of Life, the quay of [SN: Urim] Joyously he brought it into the majestic house, the house of [DN: Suen]. [DN: Nanna] was delighted with the king, and [DN: Ningal] to him. [DN: Nanna] was delighted with, and [DN: Sn-iddinam] [DN: Ningal] to him The [DN: Anuna], the great gods, blessed him He had brought to complete perfection the plenitude, the pure first-fruit offerings, the first-fruit offerings of the new year He had transported this cargo to the Quay of Life, the quay of [SN: Urim]."
t.2.6.6.1.xml,t2661.p3,c2661.11,"[DN: Suen] put in order the food offerings and, after he had taken them to [SN: Nibru], and had brought them into the [TN: E-kur], the house of [DN: Enlil], [DN: Enlil], delighted with the food offerings, fixed a good destiny His own mother, the great lady [DN: Ninlil], expressed deserved affection."
t.2.6.6.1.xml,t2661.p4,c2661.13A,"[DN: Suen] addressed [DN: Enlil] and [DN: Ninlil] He prayed to them to determine an eternal destiny for: [DN: Sn-iddinam] whom you favourably address As a just destiny, may a life into the distant future be determined for him in destiny May he be allotted long-lasting life. [DN: Sn-iddinam]"
t.2.6.6.1.xml,t2661.p5,c2661.19,"[TN: E-kur] for you, may he hasten thick bread like this threshed grain Let us give him years of favour, days of life and months of success In his palace you will bring to him in perfection what pleases the spirit and gladdens the heart May you be the gift of life for, who discourses pleasingly! May the royal throne rise high and endure eternally! Forever make foreign lands submit to his great name! [DN: Sn-iddinam]"
t.4.25.2.xml,t4252.p1,c4252.A.1,"The servant ( ), the wise suppliant, the servant, the wise suppliant, the of [SN: Akkil], the wise suppliant has taken her seat in her city [SN: Akkil] The servant has taken her seat in [SN: Akkil] The servant, [DN: Ninubur], [DN: Nintur], the servant, [DN: Ninubur] to [DN: An]."
t.4.25.2.xml,t4252.p2,c4252.A.11,"For Father [DN: Enlil], lord of all the lands; for [DN: Ninlil], lady of [TN: Ki-ur], the majestic place; for [DN: Enki], the bull of [SN: Eridug] ; for the good woman, [DN: Damgalnuna] ; for [DN: Aimbabbar] in [SN: Urim] ; for [DN: Ningal] in her [TN: Agrun-kug] ; the Great Mountain [DN: Enlil] ; for, [DN: Ninurta], for [DN: Ninursaa], for youthful [DN: Utu] in the shrine of [TN: E-babbar], for [DN: Ninirigal], for [DN: Inana] in [SN: Zabalam], [DN: Enlil] the great gods."
t.4.25.2.xml,t4252.p4,c4252.B.25,"Servant, as you took your seat on the lofty dais, [DN: Ninubur], as you took your seat, as you took your seat on the dais like Father [DN: Enlil], as you took your seat like [DN: Enlil] and [DN: Ninlil], (you said: ) [DN: Kaka], will ride high in joy like my mother! I, [DN: Ninubur] I, [DN: Kaka], will ride high in joy like my mother."
